Cell,Mutation,MOI,dataSet,SCALING_timeRange,SCALING_intensityMin,SCALING_intensityMax,SCALING_intensityRange,DEC_dataInputName,DEC_intensityMaximum,DEC_threshold_minimum_for_intensity_maximum,DEC_test_minimum_for_intensity_maximum,DEC_intensityRange,DEC_threshold_intensity_range,DEC_test_intensity_range,DEC_decisonSteps,DEC_decision,SM_maximum_N_Estimate,SM_maximum_Std_Error,SM_maximum_t_value,SM_maximum_Pr_t,SM_slopeParam_N_Estimate,SM_slopeParam_Std_Error,SM_slopeParam_t_value,SM_slopeParam_Pr_t,SM_midPoint_N_Estimate,SM_midPoint_Std_Error,SM_midPoint_t_value,SM_midPoint_Pr_t,SM_residual_Sum_of_Squares,SM_log_likelihood,SM_AIC_value,SM_BIC_value,SM_isThisaFit,SM_startVector_maximum,SM_startVector_slopeParam,SM_startVector_midPoint,SM_model,SM_additionalParameters,SM_maximum_Estimate,SM_slopeParam_Estimate,SM_midPoint_Estimate,SM_dataInputName,SM_betterFit,SM_correctFit,SM_totalFit,SM_maximum_x,SM_maximum_y,SM_midPoint_x,SM_midPoint_y,SM_slope,SM_incrementTime,SM_startPoint_x,SM_startPoint_y,SM_reachMaximum_x,SM_reachMaximum_y,DSM_finalAsymptoteIntensityRatio_N_Estimate,DSM_finalAsymptoteIntensityRatio_Std_Error,DSM_finalAsymptoteIntensityRatio_t_value,DSM_finalAsymptoteIntensityRatio_Pr_t,DSM_maximum_N_Estimate,DSM_maximum_Std_Error,DSM_maximum_t_value,DSM_maximum_Pr_t,DSM_slope1Param_N_Estimate,DSM_slope1Param_Std_Error,DSM_slope1Param_t_value,DSM_slope1Param_Pr_t,DSM_midPoint1Param_N_Estimate,DSM_midPoint1Param_Std_Error,DSM_midPoint1Param_t_value,DSM_midPoint1Param_Pr_t,DSM_slope2Param_N_Estimate,DSM_slope2Param_Std_Error,DSM_slope2Param_t_value,DSM_slope2Param_Pr_t,DSM_midPointDistanceParam_N_Estimate,DSM_midPointDistanceParam_Std_Error,DSM_midPointDistanceParam_t_value,DSM_midPointDistanceParam_Pr_t,DSM_residual_Sum_of_Squares,DSM_log_likelihood,DSM_AIC_value,DSM_BIC_value,DSM_isThisaFit,DSM_startVector_finalAsymptoteIntensityRatio,DSM_startVector_maximum,DSM_startVector_slope1Param,DSM_startVector_midPoint1Param,DSM_startVector_slope2Param,DSM_startVector_midPointDistanceParam,DSM_model,DSM_additionalParameters,DSM_finalAsymptoteIntensityRatio_Estimate,DSM_maximum_Estimate,DSM_slope1Param_Estimate,DSM_midPoint1Param_Estimate,DSM_slope2Param_Estimate,DSM_midPointDistanceParam_Estimate,DSM_dataInputName,DSM_betterFit,DSM_correctFit,DSM_totalFit,DSM_maximum_x,DSM_maximum_y,DSM_midPoint1_x,DSM_midPoint1_y,DSM_midPoint2_x,DSM_midPoint2_y,DSM_slope1,DSM_slope2,DSM_finalAsymptoteIntensity,DSM_incrementTime,DSM_startPoint_x,DSM_startPoint_y,DSM_reachMaximum_x,DSM_reachMaximum_y,DSM_decrementTime,DSM_startDeclinePoint_x,DSM_startDeclinePoint_y,DSM_endDeclinePoint_x,DSM_endDeclinePoint_y,DEC_test_name,DEC_test_sm_modelCheck,DEC_test_dsm_modelCheck,DEC_test_dataScalingParameters,DEC_test_sigmoidalFit,DEC_test_doublesigmoidalFit,DEC_test_sigmoidalAdditionalParameters,DEC_test_doublesigmoidalAdditionalParameters,DEC_threshold_AIC,DEC_sigmoidalAIC,DEC_test_sigmoidalAIC,DEC_doublesigmoidalAIC,DEC_test_doublesigmoidalAIC,DEC_dsm_maximum_x,DEC_timeRange,DEC_test_dsm_maximum_x,DEC_sm_tmax_IntensityRatio,DEC_threshold_sm_tmax_IntensityRatio,DEC_test_sm_tmax_IntensityRatio,DEC_dsm_tmax_IntensityRatio,DEC_threshold_dsm_tmax_IntensityRatio,DEC_test_dsm_tmax_IntensityRatio,DEC_sm_startPoint_x,DEC_test_sm_startPoint_x,DEC_dsm_startPoint_x,DEC_test_dsm_startPoint_x,DEC_sm_startIntensity,DEC_threshold_t0_max_int,DEC_test_sm_startIntensity,DEC_dsm_startIntensity,DEC_test_dsm_startIntensity,DSM_warning_startDeclinePoint_cor,COMB_maximum_x,COMB_maximum_y,COMB_midPoint1_x,COMB_midPoint1_y,COMB_slope1,COMB_incrementTime,COMB_startPoint_x,COMB_startPoint_y,COMB_reachMaximum_x,COMB_reachMaximum_y,COMB_midPoint2_x,COMB_midPoint2_y,COMB_slope2,COMB_finalAsymptoteIntensity,COMB_decrementTime,COMB_startDeclinePoint_x,COMB_startDeclinePoint_y,COMB_endDeclinePoint_x,COMB_endDeclinePoint_y,DSM_warning_reachMaximum_cor
1,WT,5000,SCV030,24,1.06963731762022e-15,2.81225302286446e-15,1.74261570524424e-15,1,2.81225302286446e-15,0.05,FALSE,1.74261570524424e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,WT,5000,SCV030,24,1.373897248297e-15,3.45464405804873e-15,2.08074680975173e-15,2,3.45464405804873e-15,0.05,FALSE,2.08074680975173e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WT,5000,SCV030,24,8.40813765170053e-16,3.22803531954531e-15,2.38722155437525e-15,3,3.22803531954531e-15,0.05,FALSE,2.38722155437525e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,WT,5000,SCV030,24,1.93043671179097e-15,3.87234392277431e-15,1.94190721098334e-15,4,3.87234392277431e-15,0.05,FALSE,1.94190721098334e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,WT,5000,SCV030,24,1.6598094966216e-15,3.11872388844844e-15,1.45891439182684e-15,5,3.11872388844844e-15,0.05,FALSE,1.45891439182684e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,WT,5000,SCV030,24,1.35654780326877e-15,1.969048136,1.969048136,6,1.969048136,0.05,TRUE,1.969048136,0.1,TRUE,1c_3a_5b,ambiguous,0.576239008749675,0.0433968573534481,13.2783580169519,3.01823873183913e-16,22.825410276171,14.4023591677608,1.58483829005355,0.120878290838559,0.263670940445836,0.0311687473241679,8.45946542873695,1.90473758656228e-10,2.11558960760859,3.74077427909565,0.518451441808695,7.56325190458294,TRUE,1.25578157147393,70.024582225536,0.88713859752519,1,TRUE,1.13464234606904,0.951058761507126,6.32810257070006,6,5,20,24,NA,1.13464234606904,6.32810257070006,0.567321173034518,0.26977788610149,4.20583896799528,4.22518308670242,0,8.4310220546977,1.13464234606904,0.0663413716620883,0.0609711557843591,1.0880779740624,0.283597726986573,0.813591298698542,0.0365578160661318,22.2549207323212,5.10314783646226e-23,6.96578183691715,1.26393426237759,5.51118997582503,2.88360863227172e-06,0.381871392890921,0.0298249793489074,12.8037437486075,3.6457447444664e-15,180,93.770414011379,1.9195820120636,0.0626470324615157,0.521656728860489,0.0309765071994517,16.8403986124595,6.18761862785549e-19,0.354419474499033,42.1528389491831,-70.3056778983661,-57.9772770885112,TRUE,0.668111642589793,0.724259833618998,160.765090515644,0.964228250097949,102.175912838944,0.571316405823454,1,TRUE,0.0663413716620883,1.60200043016818,0.290240909871548,9.16491342938211,7.5,12.5197614926517,6,4,20,72,20.7968201571755,1.60200043016818,8.92855022545134,0.801002795141803,21.6870201824396,0.854141558156464,0.120227555858166,-2.82356618423463,0.106278905940613,13.3247359037897,2.26618227355647,0,15.5909181773462,1.60200043016818,0.529727807543144,21.422156278668,1.60200043016818,21.9518840862112,0.106278905940613,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,0.518451441808695,FALSE,-70.3056778983661,TRUE,20.7968201571755,24,TRUE,0.999999949788057,0.85,TRUE,0.0663413990794173,0.75,TRUE,4.22518308670242,TRUE,2.26618227355647,TRUE,0.00275452430845221,0.05,TRUE,0.108446828999477,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,WT,5000,SCV030,24,5.53469482349232e-16,2.4855409357138e-15,1.93207145336457e-15,7,2.4855409357138e-15,0.05,FALSE,1.93207145336457e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,WT,5000,SCV030,24,2.3636593162315e-15,1.800913088,1.800913088,8,1.800913088,0.05,TRUE,1.800913088,0.1,TRUE,1c_6_8,sigmoidal,0.854322835099823,0.0155529059433676,54.9301100521436,2.72464061483375e-39,15.12953286012,1.99645989648875,7.57818020122964,2.97500249654745e-09,0.249986121727716,0.00901947019409604,27.7162756068922,9.99058992837835e-28,0.236278659557804,50.870428867477,-93.740857734954,-86.6960572721798,TRUE,1,1,0.33,1,TRUE,1.53856117510854,0.630397202505001,5.99966692146518,8,1,20,22,NA,1.53856117510854,5.99966692146518,0.769280587554269,0.242476165167807,6.34520582278166,2.82706401007435,0,9.17226983285601,1.53856117510854,0.742728106878552,105.21221498651,0.00705933343361113,0.994405439340717,0.855947777464326,0.0293251911584919,29.1881397409566,3.81222217678242e-27,14.9231642650799,2.80213824745574,5.32563455019739,5.13853150707506e-06,0.249557375524853,0.0179840088054349,13.8766266311789,3.06252549453412e-16,0.01,66.2968286275566,0.000150836777671194,0.999880460003015,0.63,1321378.4362508,4.76774845658541e-07,0.999999622150084,0.237376973733604,50.7707201532018,-87.5414403064035,-75.2130394965486,TRUE,0.538429148262367,0.796154164429754,23.1102150307782,0.114876329565886,1.28336632136256,0.242459070137702,1,TRUE,0.742728106878552,1.54148755508002,0.621798511044995,5.98937701259648,0.000416666666666667,15.12,8,4,20,440,18.857495815869,1.54148755508002,5.97970020008011,0.770743717450869,2657.34978424706,1.34319684417213,0.240184491338372,-6.19630754113605e-05,1.14490613356143,6.41793125980131,2.77073457017946,0,9.18866582998076,1.54148755508002,6400.28628155984,18.857495815869,1.54148755508002,5857.49292502698,1.14490613356143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,-93.740857734954,TRUE,-87.5414403064035,TRUE,18.857495815869,24,TRUE,0.999988199532604,0.85,TRUE,0.999807074839107,0.75,FALSE,2.82706401007435,TRUE,2.77073457017946,TRUE,0.0342577221939242,0.05,TRUE,0.0364785838523839,TRUE,TRUE,NA,1.53856117510854,5.99966692146518,0.769280587554269,0.242476165167807,6.34520582278166,2.82706401007435,0,9.17226983285601,1.53856117510854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,WT,5000,SCV030,24,2.59301526988856e-15,0.20388837,0.203888369999998,9,0.20388837,0.05,TRUE,0.203888369999998,0.1,TRUE,1c_6_8,sigmoidal,0.777793347830475,0.0198796030086579,39.1251951807957,1.66884152144494e-33,19.6749493429551,4.45487180403733,4.41650180037149,7.43504550832769e-05,0.214773709283284,0.0118025277715703,18.1972636235288,5.91770732190287e-21,0.456345071220959,36.718325000656,-65.4366500013119,-58.3918495385377,TRUE,1.30753752691671,26.6370528605022,0.375362423767801,1,TRUE,0.158583017885999,0.819789555956461,5.15456902279882,9,3,20,22,NA,0.158583017885999,5.15456902279882,0.0792915089429996,0.0325011754537497,4.87930099979517,2.71491852290123,0,7.59421952269641,0.158583017885999,0.989681209599067,283.260194317914,0.0034938944103396,0.997231051586766,0.796444874070171,0.0460825276627851,17.2830119020003,2.63309195378566e-19,12.6752514537793,4.06962629394899,3.1145983778967,0.00354799853019103,0.220704683181798,0.0323763205133546,6.81685502497921,4.97824664761862e-08,0.01,89.0817571151835,0.000112256429642153,0.999911035402032,0.627965495732805,1777141.29003371,3.53357101798525e-07,0.99999971996016,0.471194973648055,36.0298368070044,-58.0596736140089,-45.7312728041539,TRUE,0.181124656228349,1.119867195189,30.1700285007292,0.366711017959751,122.679058199134,0.402499923335854,1,TRUE,0.989681209599067,0.162385847169023,0.528135477240803,5.29691239636316,0.000416666666666667,15.0711718975873,9,3,9,500,20.1371383049884,0.162385847169023,5.28374427062152,0.0811929816356819,2658.14601120346,0.161548034407892,0.0214981390822313,-2.6184586906138e-07,0.160710221648008,7.55348388750722,1.50700232686791,0,9.06048621437513,0.162385847169023,6399.2818638748,20.1371383049884,0.162385847169023,5857.78694314086,0.160710221648008,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,-65.4366500013119,TRUE,-58.0596736140089,TRUE,20.1371383049884,24,TRUE,0.999999804809081,0.85,TRUE,0.999995235552701,0.75,FALSE,2.71491852290123,TRUE,1.50700232686791,TRUE,0.00228440706189222,0.05,TRUE,0.0093735476281939,TRUE,TRUE,NA,0.158583017885999,5.15456902279882,0.0792915089429996,0.0325011754537497,4.87930099979517,2.71491852290123,0,7.59421952269641,0.158583017885999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,WT,5000,SCV030,24,6.31097271537408e-16,2.89729889731854e-15,2.26620162578113e-15,10,2.89729889731854e-15,0.05,FALSE,2.26620162578113e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
