Cell,Mutation,MOI,dataSet,SCALING_timeRange,SCALING_intensityMin,SCALING_intensityMax,SCALING_intensityRange,DEC_dataInputName,DEC_intensityMaximum,DEC_threshold_minimum_for_intensity_maximum,DEC_test_minimum_for_intensity_maximum,DEC_intensityRange,DEC_threshold_intensity_range,DEC_test_intensity_range,DEC_decisonSteps,DEC_decision,SM_maximum_N_Estimate,SM_maximum_Std_Error,SM_maximum_t_value,SM_maximum_Pr_t,SM_slopeParam_N_Estimate,SM_slopeParam_Std_Error,SM_slopeParam_t_value,SM_slopeParam_Pr_t,SM_midPoint_N_Estimate,SM_midPoint_Std_Error,SM_midPoint_t_value,SM_midPoint_Pr_t,SM_residual_Sum_of_Squares,SM_log_likelihood,SM_AIC_value,SM_BIC_value,SM_isThisaFit,SM_startVector_maximum,SM_startVector_slopeParam,SM_startVector_midPoint,SM_model,SM_additionalParameters,SM_maximum_Estimate,SM_slopeParam_Estimate,SM_midPoint_Estimate,SM_dataInputName,SM_betterFit,SM_correctFit,SM_totalFit,SM_maximum_x,SM_maximum_y,SM_midPoint_x,SM_midPoint_y,SM_slope,SM_incrementTime,SM_startPoint_x,SM_startPoint_y,SM_reachMaximum_x,SM_reachMaximum_y,DSM_finalAsymptoteIntensityRatio_N_Estimate,DSM_finalAsymptoteIntensityRatio_Std_Error,DSM_finalAsymptoteIntensityRatio_t_value,DSM_finalAsymptoteIntensityRatio_Pr_t,DSM_maximum_N_Estimate,DSM_maximum_Std_Error,DSM_maximum_t_value,DSM_maximum_Pr_t,DSM_slope1Param_N_Estimate,DSM_slope1Param_Std_Error,DSM_slope1Param_t_value,DSM_slope1Param_Pr_t,DSM_midPoint1Param_N_Estimate,DSM_midPoint1Param_Std_Error,DSM_midPoint1Param_t_value,DSM_midPoint1Param_Pr_t,DSM_slope2Param_N_Estimate,DSM_slope2Param_Std_Error,DSM_slope2Param_t_value,DSM_slope2Param_Pr_t,DSM_midPointDistanceParam_N_Estimate,DSM_midPointDistanceParam_Std_Error,DSM_midPointDistanceParam_t_value,DSM_midPointDistanceParam_Pr_t,DSM_residual_Sum_of_Squares,DSM_log_likelihood,DSM_AIC_value,DSM_BIC_value,DSM_isThisaFit,DSM_startVector_finalAsymptoteIntensityRatio,DSM_startVector_maximum,DSM_startVector_slope1Param,DSM_startVector_midPoint1Param,DSM_startVector_slope2Param,DSM_startVector_midPointDistanceParam,DSM_model,DSM_additionalParameters,DSM_finalAsymptoteIntensityRatio_Estimate,DSM_maximum_Estimate,DSM_slope1Param_Estimate,DSM_midPoint1Param_Estimate,DSM_slope2Param_Estimate,DSM_midPointDistanceParam_Estimate,DSM_dataInputName,DSM_betterFit,DSM_correctFit,DSM_totalFit,DSM_maximum_x,DSM_maximum_y,DSM_midPoint1_x,DSM_midPoint1_y,DSM_midPoint2_x,DSM_midPoint2_y,DSM_slope1,DSM_slope2,DSM_finalAsymptoteIntensity,DSM_incrementTime,DSM_startPoint_x,DSM_startPoint_y,DSM_reachMaximum_x,DSM_reachMaximum_y,DSM_decrementTime,DSM_startDeclinePoint_x,DSM_startDeclinePoint_y,DSM_endDeclinePoint_x,DSM_endDeclinePoint_y,DEC_test_name,DEC_test_sm_modelCheck,DEC_test_dsm_modelCheck,DEC_test_dataScalingParameters,DEC_test_sigmoidalFit,DEC_test_doublesigmoidalFit,DEC_test_sigmoidalAdditionalParameters,DEC_test_doublesigmoidalAdditionalParameters,DEC_threshold_AIC,DEC_sigmoidalAIC,DEC_test_sigmoidalAIC,DEC_doublesigmoidalAIC,DEC_test_doublesigmoidalAIC,DEC_dsm_maximum_x,DEC_timeRange,DEC_test_dsm_maximum_x,DEC_sm_tmax_IntensityRatio,DEC_threshold_sm_tmax_IntensityRatio,DEC_test_sm_tmax_IntensityRatio,DEC_dsm_tmax_IntensityRatio,DEC_threshold_dsm_tmax_IntensityRatio,DEC_test_dsm_tmax_IntensityRatio,DEC_sm_startPoint_x,DEC_test_sm_startPoint_x,DEC_dsm_startPoint_x,DEC_test_dsm_startPoint_x,DEC_sm_startIntensity,DEC_threshold_t0_max_int,DEC_test_sm_startIntensity,DEC_dsm_startIntensity,DEC_test_dsm_startIntensity,COMB_maximum_x,COMB_maximum_y,COMB_midPoint1_x,COMB_midPoint1_y,COMB_midPoint2_x,COMB_midPoint2_y,COMB_slope1,COMB_slope2,COMB_finalAsymptoteIntensity,COMB_incrementTime,COMB_startPoint_x,COMB_startPoint_y,COMB_reachMaximum_x,COMB_reachMaximum_y,COMB_decrementTime,COMB_startDeclinePoint_x,COMB_startDeclinePoint_y,COMB_endDeclinePoint_x,COMB_endDeclinePoint_y,DSM_warning_startDeclinePoint_cor,DSM_warning_reachMaximum_cor
1,WT,2000,SCV096,24,2.11539657320827e-17,3.38503271231156e-15,3.36387874657948e-15,1,3.38503271231156e-15,0.4,FALSE,3.36387874657948e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,WT,2000,SCV096,24,8.11801871750504e-18,1.713365104,1.713365104,2,1.713365104,0.4,TRUE,1.713365104,0.1,TRUE,1c_3a_8,double_sigmoidal,0.462846538775559,0.0696396997815704,6.64630290232882,5.84769464535238e-08,92.2993522729355,249.699311772851,0.369641997078867,0.713599086770847,0.200923304135308,0.0342043741891789,5.87419910167143,7.10241630014871e-07,7.17449653535012,-22.5150051231216,53.0300102462432,60.0748107090174,TRUE,0.355438197311014,65.5688397342758,0.263911060804967,1,TRUE,0.793025108045225,3.84580634470564,4.82215929924739,2,2,20,26,NA,0.793025108045225,4.82215929924739,0.396512554022613,0.762455248007802,1.04009397288208,4.30211231280635,0,5.34220628568843,0.793025108045225,0.0552915540860982,0.0183567377347664,3.01205774604383,0.00465933962830856,0.946976834143119,0.0202810876009838,46.6926060758785,1.70889099871267e-34,63.1192856342552,12.8045728245457,4.92943314073381,1.75397055481653e-05,0.226579042676877,0.00367834546041532,61.5980867254633,6.86563720982573e-39,180,80.6256653980235,2.23253971438743,0.0317151139133169,0.372526024025366,0.00481439973398503,77.3774602461219,1.58369776560528e-42,0.209425556928559,53.4642647615173,-92.9285295230347,-80.6001287131797,TRUE,0.47710547153838,0.652863262407482,176.926807224075,0.185723652688321,131.071131292607,0.505820947266184,1,TRUE,0.0552915540860982,1.62251706191722,2.62997023476063,5.43789702424506,7.5,8.94062457660879,2,2,20,47,11.9539540307634,1.62251706191722,5.43789425546233,0.811255616801612,14.3785215971416,0.85611432389627,1.06679294651265,-2.87401058730134,0.089711489884613,1.52092968670372,4.67742941211047,0,6.19835909881419,1.62251706191722,0.533333307401588,14.1118549434408,1.62251706191722,14.6451882508424,0.089711489884613,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,53.0300102462432,FALSE,-92.9285295230347,TRUE,11.9539540307634,24,TRUE,1,0.85,TRUE,0.0552915540860982,0.75,TRUE,4.30211231280635,TRUE,4.67742941211047,TRUE,7.00255165055035e-09,0.05,TRUE,9.9798339962424e-07,TRUE,11.9539540307634,1.62251706191722,5.43789425546233,0.811255616801612,14.3785215971416,0.85611432389627,1.06679294651265,-2.87401058730134,0.089711489884613,1.52092968670372,4.67742941211047,0,6.19835909881419,1.62251706191722,0.533333307401588,14.1118549434408,1.62251706191722,14.6451882508424,0.089711489884613,NA,NA
3,WT,2000,SCV096,24,3.12595283612609e-17,3.63213421294283e-15,3.60087468458157e-15,3,3.63213421294283e-15,0.4,FALSE,3.60087468458157e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,WT,2000,SCV096,24,2.58308239048347e-17,3.40668114918943e-15,3.3808503252846e-15,4,3.40668114918943e-15,0.4,FALSE,3.3808503252846e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,WT,2000,SCV096,24,1.72171576879919e-17,3.82830271801189e-15,3.81108556032389e-15,5,3.82830271801189e-15,0.4,FALSE,3.81108556032389e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,WT,2000,SCV096,24,4.52184686437249e-18,3.56560158675354e-15,3.56107973988917e-15,6,3.56560158675354e-15,0.4,FALSE,3.56107973988917e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,WT,2000,SCV096,24,1.54626703821123e-17,3.4230147142588e-15,3.40755204387669e-15,7,3.4230147142588e-15,0.4,FALSE,3.40755204387669e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,WT,2000,SCV096,24,5.04517643712461e-18,3.40218918637101e-15,3.39714400993388e-15,8,3.40218918637101e-15,0.4,FALSE,3.39714400993388e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,WT,2000,SCV096,24,3.98220551200211e-17,3.82162866928823e-15,3.78180661416821e-15,9,3.82162866928823e-15,0.4,FALSE,3.78180661416821e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,WT,2000,SCV096,24,1.84102878259089e-15,1.532347911,1.532347911,10,1.532347911,0.4,TRUE,1.532347911,0.1,TRUE,1c_3a_8,double_sigmoidal,0.566726059961915,0.066596201654325,8.50988563737568,1.63161545189024e-10,76.3152483563455,154.235941793831,0.494795489746202,0.623451446424148,0.166902452972284,0.0297021905088881,5.61919677009477,1.62016512170995e-06,6.77190226125154,-21.2733681153238,50.5467362306477,57.5915366934219,TRUE,1.0433918424882,38.0345555619593,0.0831832792772911,1,TRUE,0.868421494091902,3.17980201484773,4.00565887133481,10,5,20,24,NA,0.868421494091902,4.00565887133481,0.434210747045951,0.690352104162626,1.25793995390985,3.37668889437988,0,4.63462884828973,0.868421494091902,0.0429029800627702,0.0233834182434049,1.83476083847881,0.0745912555509537,0.974550229603437,0.0214630588654159,45.4059337820557,4.72305113799243e-34,29.1259496850969,4.45378708782399,6.53959183741024,1.17264141730072e-07,0.198886017917868,0.00566661900294684,35.0978277901585,5.24314063553121e-30,40.1135077805873,7.275113029162,5.51379856502489,2.86026186905549e-06,0.480751010496183,0.00814748872256243,59.0060357082622,3.31676555924932e-38,0.218440702046633,52.5581203471546,-91.1162406943093,-78.7878398844543,TRUE,0.141576281515881,0.840805294364691,100.828937590327,0.2920614476013,112.212957324705,0.549990200556349,1,TRUE,0.0429029800627702,1.4933500084974,1.21358123687904,4.77326443002884,1.67139615752447,11.5380242519084,10,5,20,43,11.347023341281,1.4933500084974,4.77229084247509,0.746675873558296,16.3119960111015,0.778709579587302,0.453343570637014,-0.597575929036272,0.0640691656413015,3.29408004264629,3.12525082115194,0,6.41933086379823,1.4933500084974,2.39179788443142,15.1160970688858,1.4933500084974,17.5078949533172,0.0640691656413015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,50.5467362306477,FALSE,-91.1162406943093,TRUE,11.347023341281,24,TRUE,1,0.85,TRUE,0.0429054927856406,0.75,TRUE,3.37668889437988,TRUE,3.12525082115194,TRUE,2.55289338953781e-06,0.05,TRUE,0.00454296643004183,TRUE,11.347023341281,1.4933500084974,4.77229084247509,0.746675873558296,16.3119960111015,0.778709579587302,0.453343570637014,-0.597575929036272,0.0640691656413015,3.29408004264629,3.12525082115194,0,6.41933086379823,1.4933500084974,2.39179788443142,15.1160970688858,1.4933500084974,17.5078949533172,0.0640691656413015,NA,NA
